type_of_product,product,price_sar,unit_of_measurement,total_quantity
H9-Powder detergent,Detergent (powder),261.0,mL,1047.0
H9-Powder detergent,Detergent (powder),178.0,mL,59.0
H9-Powder detergent,Detergent (powder),80.0,mL,900.0
H9-Scent booster for laundry,Scent booster,22.95,g,210.0
H9-Scent booster for laundry,Scent booster,96.09,g,515.0
H9-Scent booster for laundry,Scent booster,61.0,g,194.0
H9-Scent booster for laundry,Scent booster,78.73,g,1117.89
H9-Stain remover for laundry,Stain remover,43.0,mL,2700.0
H9-Stain remover for laundry,Stain remover,25.0,mL,500.0
H9-Stain remover on the go,Stain remover,20.0,mL,500.0
H9-Stain remover on the go,Stain remover,18.0,mL,900.0
H9-Stain remover for laundry,Stain remover,26.75,mL,500.0
H9-Stain remover for laundry,Stain remover,23.46,mL,473.0
H9-Stain remover for laundry,Stain remover,57.1,mL,473.0
H9-Stain remover for laundry,Stain remover,40.0,mL,800.0
H9-Stain remover for laundry,Stain remover,39.0,mL,500.0
