External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
product_template_541,FP-FMN-02103,WAYAKIT GreenTech Facilities Management air freshener [Box of 12 units 700 mL],air freshener,Box of 12 units 700 mL,8.4,0.0,F7-FM air freshener,Facilities management - 7. Air care and odor control,Air freshener,Facilities management,Facilities management,18,14.52,20.496,0,0,12,,,65.016
product_template_546,FP-FMN-02300,WAYAKIT GreenTech Facilities Management stainless steel polish and cleaner for fixtures and fittings [700 mL],stainless steel polish and cleaner for fixtures and fittings,700 mL,0.7,0.0,F8-FM stainless steel polish and cleaner for fixtures and fittings,Facilities management - 8. Metal and escalator cleaners,Stainless steel cleaner,Facilities management,Facilities management,1.5,1.21,0.92785,0,0,1,,,4.63785
product_template_547,FP-FMN-02301,WAYAKIT GreenTech Facilities Management stainless steel polish and cleaner for fixtures and fittings [4 L],stainless steel polish and cleaner for fixtures and fittings,4 L,4.0,0.0,F8-FM stainless steel polish and cleaner for fixtures and fittings,Facilities management - 8. Metal and escalator cleaners,Stainless steel cleaner,Facilities management,Facilities management,4,4.84,5.302,0,0,1,,,15.142
product_template_548,FP-FMN-02302,WAYAKIT GreenTech Facilities Management stainless steel polish and cleaner for fixtures and fittings [20 L],stainless steel polish and cleaner for fixtures and fittings,20 L,20.0,0.0,F8-FM stainless steel polish and cleaner for fixtures and fittings,Facilities management - 8. Metal and escalator cleaners,Stainless steel cleaner,Facilities management,Facilities management,8,4.84,26.51,0,0,1,,,40.35
product_template_549,FP-FMN-02303,WAYAKIT GreenTech Facilities Management stainless steel polish and cleaner for fixtures and fittings [Box of 12 units 700 mL],stainless steel polish and cleaner for fixtures and fittings,Box of 12 units 700 mL,8.4,0.0,F8-FM stainless steel polish and cleaner for fixtures and fittings,Facilities management - 8. Metal and escalator cleaners,Stainless steel cleaner,Facilities management,Facilities management,18,14.52,11.1342,0,0,12,,,55.6542
product_template_562,FP-FMN-02700,WAYAKIT GreenTech Facilities Management HVAC system cleaner [700 mL],HVAC system cleaner,700 mL,0.7,0.0,F10-FM HVAC system cleaner,Facilities management - 10. Air quality and ventilation,Disinfectant and cleaner,Facilities management,Facilities management,1.5,1.21,0.931,0,0,1,,,4.641
product_template_563,FP-FMN-02701,WAYAKIT GreenTech Facilities Management HVAC system cleaner [4 L],HVAC system cleaner,4 L,4.0,0.0,F10-FM HVAC system cleaner,Facilities management - 10. Air quality and ventilation,Disinfectant and cleaner,Facilities management,Facilities management,4,4.84,5.32,0,0,1,,,15.16
product_template_564,FP-FMN-02702,WAYAKIT GreenTech Facilities Management HVAC system cleaner [20 L],HVAC system cleaner,20 L,20.0,0.0,F10-FM HVAC system cleaner,Facilities management - 10. Air quality and ventilation,Disinfectant and cleaner,Facilities management,Facilities management,8,4.84,26.6,0,0,1,,,40.44
product_template_565,FP-FMN-02703,WAYAKIT GreenTech Facilities Management HVAC system cleaner [Box of 12 units 700 mL],HVAC system cleaner,Box of 12 units 700 mL,8.4,0.0,F10-FM HVAC system cleaner,Facilities management - 10. Air quality and ventilation,Disinfectant and cleaner,Facilities management,Facilities management,18,14.52,11.172,0,0,12,,,55.692
,FP-AUT-00100,WAYAKIT GreenTech Automotive Car wash shampoo,Car wash shampoo,,,,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Vehicle wet wash shampoo,Automotive,Transportation,1.5,1.21,0.0,0,0,1,,,3.71
